baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FGR	1336.84996506142	2.17784283247759	0.139945946983831	15.5620286218736	1.31852664775604e-54	1.42481398668966e-52
FHL5	167.6347990986	2.81317760167902	0.18078772626008	15.5606669759871	1.34687995888755e-54	1.45268058651521e-52
FRMD3	245.825278163687	2.42838502621932	0.156244768610323	15.5421845340355	1.79750203258995e-54	1.92768475555631e-52
RCAN1	2128.16230691892	1.79462215001023	0.115574194696619	15.5278793395108	2.24688081996369e-54	2.39599584839216e-52
SPRYD7	751.453428044165	1.26657885768646	0.0816280131036266	15.5164729549222	2.68404163261261e-54	2.85678897377926e-52
AC022613.2	24.9590515306217	1.57033971471029	0.101299974778298	15.5018766603555	3.36905970530647e-54	3.5724651077392e-52
KIF17	120.766451184307	2.06616716940413	0.133407524942955	15.4876358757695	4.20469913838395e-54	4.44191947783307e-52
DPEP2	247.153951618081	2.24552365485609	0.14503160208172	15.4829955859608	4.5192963358051e-54	4.75651739253956e-52
MIR22HG	991.137215021591	1.65363913308664	0.10682150309238	15.4803956620658	4.70569791407263e-54	4.94351463240164e-52
SPN	1475.14546921239	2.28805020897656	0.148050912794734	15.4544822844074	7.03747410033073e-54	7.3386728076819e-52
ADCY4	460.479755605069	1.83683112683686	0.118919672018288	15.4459821126516	8.02951870806803e-54	8.34244894175494e-52
ARC	116.479199704344	3.57812332823402	0.231725836410379	15.4411928495417	8.64858357542008e-54	8.96918308378363e-52
HPS5	1602.61966867716	1.13663929910871	0.0736329407556982	15.4365598799033	9.29262451333863e-54	9.60192646794319e-52
NCKAP5	527.809281543668	3.54867387567842	0.229946167721022	15.4326289098402	9.87638488003157e-54	1.01865285509455e-51
CD300LG	126.924216248672	5.04238054506344	0.326788196882528	15.4301183248551	1.0268178755213e-53	1.05713700697306e-51
SYNM	589.022849689578	1.84149133892694	0.11942284290348	15.4199254862428	1.20243022382793e-53	1.23568800352147e-51
BCL6B	743.588554767553	1.7960603034236	0.116674498009029	15.3937692818238	1.80220881754325e-53	1.83540057706059e-51
COX7A1	286.933800360679	2.00366533203432	0.130164551502246	15.3933256705436	1.81460962967532e-53	1.84471195100063e-51
ASPA	78.0917876947381	2.72437325327387	0.177107545289247	15.3825928128838	2.14195476649327e-53	2.16582226246277e-51
PEAR1	412.113960863251	2.06378415314542	0.134775839320134	15.3127160146508	6.28822527611804e-53	6.30202598291872e-51
WNT3A	110.879755897281	4.15391081053891	0.271433137187193	15.3036245079914	7.23146864680004e-53	7.22177567295248e-51
CA4	322.833617092336	4.39572599292023	0.287674501277583	15.2802072251746	1.03610728826054e-52	1.03108153058813e-50
MGAT3	663.227241264432	3.18091429196822	0.208334550967062	15.2682993637053	1.24374557297942e-52	1.23554121621731e-50
VWF	13105.3574641712	2.36425782562008	0.155359747243473	15.2179561795689	2.68797974354705e-52	2.63329005187903e-50
COX4I2	254.558359303205	2.35004452049179	0.155097005591709	15.1520947263047	7.33896754745483e-52	7.10361877618944e-50
SLC25A25	1247.45660525244	1.6998502255232	0.112242260783715	15.1444760080049	8.24088171331022e-52	7.93591302949793e-50
KIF1C	6817.61123932961	1.33965073976538	0.0885578531581879	15.127407587133	1.06821273711918e-51	1.02173104774724e-49
SPARCL1	9519.68914708781	2.0072640328727	0.132817605266282	15.1129364879633	1.33074814489386e-51	1.26855695212912e-49
CLDN5	1858.08276325942	2.78537769638489	0.18451815010593	15.0954130787993	1.73597314908801e-51	1.64377497648762e-49
FAM189A2	992.503155591304	2.87837021902919	0.19070843270522	15.0930411319478	1.79953202682364e-51	1.70111354735997e-49
TMEM88	128.520815704818	2.18967785774551	0.145174714437108	15.0830526254909	2.09361036264497e-51	1.97252234899182e-49
JDP2	1568.45192564726	1.47269366463673	0.0978100324550865	15.0566728961365	3.12103392076827e-51	2.92108140048896e-49
