baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
VIL1	1107.06865704012	-6.88817084324022	0.404786480026026	-17.0168006668536	6.16483907954393e-65	1.0908682751253e-62
SKA1	265.980500153555	-3.0556016736077	0.179853038302002	-16.9894359442338	9.83301989407595e-65	1.72379231728222e-62
MCM4	4021.11219705865	-2.25580587083815	0.132818032308939	-16.984183786062	1.07539227477654e-64	1.87363114359837e-62
ORC1	329.402524666737	-2.75669685838739	0.162375881442866	-16.9772556976534	1.21013829282303e-64	2.10192854885925e-62
PAFAH1B3	1170.87077173332	-2.26147644731798	0.133329144756985	-16.9616061922539	1.57966652824512e-64	2.7270438260778e-62
KNL1	478.926517424327	-2.64067563128704	0.155690536980635	-16.9610541687289	1.59457803048091e-64	2.74441903945141e-62
BARX1	711.22713206565	-7.62127511725074	0.449754193032479	-16.9454231562892	2.08031875256834e-64	3.56957481955848e-62
KDELR3	2323.12789084551	-2.2391580336911	0.132155004127356	-16.9434222220844	2.15231301069961e-64	3.68195081322824e-62
CLSPN	484.924136445733	-2.75847334553163	0.162854781871711	-16.938239785336	2.35053200172155e-64	4.00893144775545e-62
SYT7	3169.9400593231	-3.45724623168326	0.204590225478	-16.8983939658204	4.62328226499198e-64	7.76821172026426e-62
H2BC5	908.634862578718	-2.59858373214526	0.153849647238059	-16.8904107275875	5.29332303393708e-64	8.8677255465578e-62
KNTC1	1329.60541688923	-2.13753203130677	0.126795687137545	-16.8580815291297	9.15115167132283e-64	1.52853926913565e-61
HELLS	692.573169571465	-2.40448185787808	0.142634541078785	-16.8576407908793	9.21963643755627e-64	1.53544909894172e-61
PITX1	704.269594463061	-4.67879499467517	0.277924746213704	-16.83475494146	1.35749239062187e-63	2.25415393333058e-61
C1orf112	375.674908611339	-1.7436903397637	0.10360250498454	-16.8305808824207	1.45665974756594e-63	2.41175150719806e-61
TK1	2725.84501429245	-2.66914379896534	0.158602581140735	-16.8291321601941	1.49273982599885e-63	2.46428279613292e-61
NME1	970.226110744818	-2.20239953195394	0.131187576703936	-16.7881714662991	2.97881989120088e-63	4.8890636962133e-61
DNA2	399.193978401662	-2.262897706292	0.134833038434161	-16.7829615988145	3.25205141704189e-63	5.3067481106219e-61
LINC02882	74.3644587755864	-7.02800837032019	0.418910604603133	-16.7768690815989	3.60340227321874e-63	5.86319110111316e-61
BUB1	1094.02082989206	-2.668772283302	0.159084738117586	-16.7757907822019	3.66941484915409e-63	5.95349416671923e-61
CNOT11	3509.77688258647	-1.13665948661006	0.0677650281046017	-16.7735411377019	3.81104113534539e-63	6.16561123565135e-61
